#HQF Attribute Mapping Table,,,,,,,,,,
#Affecting Attribute,Affecting Type,Affecting ID,Affected Attribute,Affected Type,Affected ID,Stack Nerf,Per Level,Calc Type,State,Description
# SKILL ATTRIBUTE MAPPING,,,,,,,,,,
# DRONES,,,,,,,,,,
459,1,23566,10007,3,6,0,1,1,0,Advanced Drone Avionics
2340,1,24613,2055,3,6,0,1,0,0,Fighter Hangar Management
292,1,12484,64,5,12484,0,1,0,0,Amarr Drone Specialization
292,1,12487,64,5,12487,0,1,0,0,Caldari Drone Specialization
459,1,3437,10007,3,6,0,1,1,0,Drone Avionics
327,1,23618,9,3,18,0,1,0,0,Drone Durability - Hull
335,1,23618,265,3,18,0,1,0,0,Drone Durability - Armor
337,1,23618,263,3,18,0,1,0,0,Drone Durability - Shield
292,1,3442,64,2,100;101;1159;549;1023,0,1,0,0,Drone Interfacing - Damage
434,1,3442,77,2,101,0,1,0,0,Drone Interfacing - Mining
591,1,12305,37,3,18,0,1,0,0,Drone Navigation
294,1,23606,54,3,18,0,1,0,0,Drone Sharpshooting
353,1,3436,10005,3,6,0,1,1,0,Drones
292,1,23069,2131,3,87,0,1,0,0,Fighters -  Attack Missile EM Damage
292,1,23069,2132,3,87,0,1,0,0,Fighters -  Attack Missile Thermal Damage
292,1,23069,2133,3,87,0,1,0,0,Fighters -  Attack Missile Kinetic Damage
292,1,23069,2134,3,87,0,1,0,0,Fighters -  Attack Missile Explosive Damage
292,1,23069,2227,3,87,0,1,0,0,Fighters -  Ability EM Damage
292,1,23069,2228,3,87,0,1,0,0,Fighters -  Ability Thermal Damage
292,1,23069,2229,3,87,0,1,0,0,Fighters -  Ability Kinetic Damage
292,1,23069,2230,3,87,0,1,0,0,Fighters -  Ability Explosive Damage
306,1,40572,37,2,1652,0,1,0,0,Light Fighters
68,1,40573,263,2,1537,0,1,0,0,Support Fighters
292,1,32339,2131,2,1653,0,1,0,0,Heavy Fighters -  Attack Missile EM Damage
292,1,32339,2132,2,1653,0,1,0,0,Heavy Fighters -  Attack Missile Thermal Damage
