100MN MicroWarpdrive I,100MN Microwarpdrive I,
100MN MicroWarpdrive II,100MN Microwarpdrive II,
10MN MicroWarpdrive I,10MN Microwarpdrive I,
10MN MicroWarpdrive II,10MN Microwarpdrive II,
1200mm Heavy Gallium I Cannon,1200mm Heavy Gallium Cannon,
1200mm Heavy Prototype I Artillery,1200mm Heavy Prototype Artillery,
1200mm Heavy Prototype I Siege Cannon,1200mm Heavy Prototype Siege Cannon,
125mm Light Gallium I Machine Gun,125mm Light Gallium Machine Gun,
125mm Light Prototype I Automatic Cannon,125mm Light Prototype Automatic Cannon,
125mm Prototype I Gauss Gun,125mm Prototype Gauss Gun,
125mm 'Scout' I Accelerator Cannon,125mm 'Scout' Accelerator Cannon,
1400mm Gallium I Cannon,1400mm Gallium Cannon,
1400mm Prototype I Siege Cannon,1400mm Prototype Siege Cannon,
150mm Light Gallium I Machine Gun,150mm Light Gallium Machine Gun,
150mm Light Prototype I Automatic Cannon,150mm Light Prototype Automatic Cannon,
150mm Prototype I Gauss Gun,150mm Prototype Gauss Gun,
150mm 'Scout' I Accelerator Cannon,150mm 'Scout' Accelerator Cannon,
1MN MicroWarpdrive I,1MN Microwarpdrive I,
1MN MicroWarpdrive II,1MN Microwarpdrive II,
200mm Light Gallium I Machine Gun,200mm Light Gallium Machine Gun,
200mm Light Prototype I Automatic Cannon,200mm Light Prototype Automatic Cannon,
200mm Prototype I Gauss Gun,200mm Prototype Gauss Gun,
200mm 'Scout' I Accelerator Cannon,200mm 'Scout' Accelerator Cannon,
220mm Medium Gallium I Machine Gun,220mm Medium Gallium Machine Gun,
220mm Medium Prototype I Automatic Cannon,220mm Medium Prototype Automatic Cannon,
250mm Light Gallium I Cannon,250mm Light Gallium Cannon,
250mm Light Prototype I Siege Cannon,250mm Light Prototype Siege Cannon,
250mm Prototype I Gauss Gun,250mm Prototype Gauss Gun,
250mm 'Scout' I Accelerator Cannon,250mm 'Scout' Accelerator Cannon,
