#HQF Ship Bonus Mapping Table,,,,,,,,,,,
#Ship ID,Affecting Type,Affecting ID,Affected Attribute,Affected Type,Affected ID,Stack Nerf,Per Level,Calc Type,Value,Status,Description
# Abaddon,,,,,,,,,,,
24692,1,3339,10014,4,569;573,0,1,0,5,15,Large Energy Turret Damage
24692,1,3339,267,1,24692,0,1,2,-4,15,Armor EM Resistance
24692,1,3339,268,1,24692,0,1,2,-4,15,Armor Explosive Resistance
24692,1,3339,269,1,24692,0,1,2,-4,15,Armor Kinetic Resistance
24692,1,3339,270,1,24692,0,1,2,-4,15,Armor Thermal Resistance
# Abaddon Kador Edition,,,,,,,,,,,
#33625,1,3339,10014,4,569;573,0,1,0,5,15,Large Energy Turret Damage
#33625,1,3339,267,1,33625,0,1,2,-4,15,Armor EM Resistance
#33625,1,3339,268,1,33625,0,1,2,-4,15,Armor Explosive Resistance
#33625,1,3339,269,1,33625,0,1,2,-4,15,Armor Kinetic Resistance
#33625,1,3339,270,1,33625,0,1,2,-4,15,Armor Thermal Resistance
# Abaddon Tash-Murkon Edition,,,,,,,,,,,
#33623,1,3339,10014,4,569;573,0,1,0,5,15,Large Energy Turret Damage
#33623,1,3339,267,1,33623,0,1,2,-4,15,Armor EM Resistance
#33623,1,3339,268,1,33623,0,1,2,-4,15,Armor Explosive Resistance
#33623,1,3339,269,1,33623,0,1,2,-4,15,Armor Kinetic Resistance
#33623,1,3339,270,1,33623,0,1,2,-4,15,Armor Thermal Resistance
# Absolution,,,,,,,,,,,
22448,1,33095,6,4,568;572,0,1,0,-10,15,Medium Energy Turret Cap Use
22448,1,33095,267,1,22448,0,1,2,-4,15,Armor EM Resistance
22448,1,33095,268,1,22448,0,1,2,-4,15,Armor Explosive Resistance
22448,1,33095,269,1,22448,0,1,2,-4,15,Armor Kinetic Resistance
22448,1,33095,270,1,22448,0,1,2,-4,15,Armor Thermal Resistance
22448,1,23950,10014,4,568;572,0,1,0,10,15,Medium Energy Turret Damage
22448,1,23950,10011,4,568;572,0,1,0,-5,15,Medium Energy Turret ROF
22448,1,23950,833,4,1634;1635,0,1,0,3,15,Armored & Information Warfare Link Bonus
22448,1,23950,1310,4,1635,0,1,0,3,15,Information Warfare Link Bonus
22448,1,23950,1320,4,1635,0,1,0,3,15,Information Warfare Link Bonus
22448,1,23950,1321,4,1635,0,1,0,3,15,Information Warfare Link Bonus
22448,1,23950,1322,4,1635,0,1,0,3,15,Information Warfare Link Bonus
22448,1,23950,1323,4,1635,0,1,0,3,15,Information Warfare Link Bonus
22448,0,0,10063,1,22448,0,0,1,2,15,Warfare Link Use
# Adrestia,,,,,,,,,,,
2836,0,0,37,1,2836,0,0,0,25,15,Max Velocity
2836,0,0,158,4,562;565,0,0,0,50,15,Medium Hybrid Turret Falloff
2836,0,0,160,4,562;565,0,0,0,50,15,Medium Hybrid Turret Tracking
2836,1,3332,10015,4,562;565,0,1,0,20,15,Medium Hybrid Turret Damage
2836,1,3332,54,2,52,0,1,0,20,15,Warp Disruptor Range
# Aeon,,,,,,,,,,,
23919,1,24311,2131,3,87,0,1,0,5,15,Fighter Attack Missile EM Damage
23919,1,24311,2132,3,87,0,1,0,5,15,Fighter Attack Missile Thermal Damage
23919,1,24311,2133,3,87,0,1,0,5,15,Fighter Attack Missile Kinetic Damage
23919,1,24311,2134,3,87,0,1,0,5,15,Fighter Attack Missile Explosive Damage
23919,1,24311,2227,3,87,0,1,0,5,15,Fighter Ability EM Damage
23919,1,24311,2228,3,87,0,1,0,5,15,Fighter Ability Thermal Damage
23919,1,24311,2229,3,87,0,1,0,5,15,Fighter Ability Kinetic Damage
23919,1,24311,2230,3,87,0,1,0,5,15,Fighter Ability Explosive Damage
23919,1,24311,267,1,23919,0,1,2,-4,15,Armor EM Resistance
23919,1,24311,268,1,23919,0,1,2,-4,15,Armor Explosive Resistance
23919,1,24311,269,1,23919,0,1,2,-4,15,Armor Kinetic Resistance
23919,1,24311,270,1,23919,0,1,2,-4,15,Armor Thermal Resistance
23919,1,24311,10009,1,23919,0,1,1,5,15,Warp Core Strength
23919,1,24311,2397,1,40699,0,1,0,-5,15,Weapon Disruption Burst Projector Duration
23919,1,24311,833,4,1634;1635,0,1,0,2,15,Armored & Information Warfare Link Bonus
23919,0,0,72,2,38,0,0,0,400,15,Shield HP - Extenders
23919,0,0,1159,2,329,0,0,0,400,15,Armor HP - Plates
23919,0,0,2112,1,11567,0,0,0,50,15,Sensor Dampener resistance
23919,0,0,2115,1,11567,0,0,0,50,15,Stasis effect resistance
23919,0,0,2135,1,11567,0,0,0,50,15,Remote Electronic Assistance impedance
23919,0,0,73,2,1313,0,0,0,500,15,Entosis link duration
23919,0,0,10063,1,23919,0,0,1,2,15,Warfare Link Use
# Algos,,,,,,,,,,,
32872,1,33093,160,4,561;564,0,1,0,7.5,15,Small Hybrid Turret Tracking
32872,1,33093,64,3,18,0,1,0,10,15,Drone Damage
32872,1,33093,263,3,18,0,1,0,10,15,Drone Shield HP
32872,1,33093,265,3,18,0,1,0,10,15,Drone Armor HP
32872,1,33093,9,3,18,0,1,0,10,15,Drone Hull HP
32872,0,0,37,3,18,0,0,0,25,15,Drone MWD Speed
# Anathema,,,,,,,,,,,
11188,1,3331,114,2,387;648,0,1,0,5,15,Rocket Damage - EM
11188,1,3331,116,2,387;648,0,1,0,5,15,Rocket Damage - Exp
11188,1,3331,117,2,387;648,0,1,0,5,15,Rocket Damage - Kin
11188,1,3331,118,2,387;648,0,1,0,5,15,Rocket Damage - Therm
11188,1,3331,55,1,11188,0,1,0,-5,15,Capacitor Recharge Rate
11188,1,12093,50,2,330,0,1,0,-20,15,Cloaking Device CPU
11188,1,12093,1371,2,479,0,1,0,10,15,Probe Scan Strength Bonus
11188,0,0,1910,4,1718,0,0,1,10,15,Data & Relic Analyzer Virus Strength
# Anshar,,,,,,,,,,,
28848,1,20527,10004,1,28848,0,1,0,5,15,Cargo Capacity
28848,1,20527,70,1,28848,0,1,0,-5,15,Agility
28848,1,29029,265,1,28848,0,1,0,10,15,Armor HP
28848,1,29029,9,1,28848,0,1,0,10,15,Hull HP
28848,1,29029,868,1,28848,0,1,0,-10,15,Jump Fuel Need
28848,1,20342,70,1,28848,0,1,0,-5,15,Agility
28848,0,0,50,2,78,0,0,0,-100,15,Bulkheads CPU Need
# Apocalypse,,,,,,,,,,,
642,1,3339,160,4,569;573,0,1,0,7.5,15,Large Energy Turret Tracking
642,1,3339,54,4,569;573,0,1,0,7.5,15,Large Energy Turret Optimal Range
# Apocalypse Blood Raider Edition,,,,,,,,,,,
#34213,1,3339,160,4,569;573,0,1,0,7.5,15,Large Energy Turret Tracking
#34213,1,3339,54,4,569;573,0,1,0,7.5,15,Large Energy Turret Optimal Range
# Apocalypse Kador Edition,,,,,,,,,,,
#34215,1,3339,160,4,569;573,0,1,0,7.5,15,Large Energy Turret Tracking
#34215,1,3339,54,4,569;573,0,1,0,7.5,15,Large Energy Turret Optimal Range
# Apocalypse Tash-Murkon Edition,,,,,,,,,,,
#34217,1,3339,160,4,569;573,0,1,0,7.5,15,Large Energy Turret Tracking
#34217,1,3339,54,4,569;573,0,1,0,7.5,15,Large Energy Turret Optimal Range
# Apocalypse Imperial Issue,,,,,,,,,,,
11936,1,3339,6,4,569;573,0,1,0,-10,15,Large Energy Turret Cap Use
11936,1,3339,482,1,11936,0,1,0,5,15,Capacitor Capacity
# Apocalypse Navy Issue,,,,,,,,,,,
17726,1,3339,160,4,569;573,0,1,0,7.5,15,Large Energy Turret Tracking
17726,1,3339,54,4,569;573,0,1,0,7.5,15,Large Energy Turret Optimal Range
# Apostle,,,,,,,,,,,
37604,1,24311,90,2,67,0,1,0,5,15,Energy Transfer Amount
37604,1,24311,84,2,325;1698,0,1,0,5,15,Armor Transfer Amount
37604,1,24311,833,4,1634;1635,0,1,0,1,15,Armored & Information Warfare Link Bonus
37604,1,24311,267,1,37604,0,1,2,-4,15,Armor EM Resistance
37604,1,24311,268,1,37604,0,1,2,-4,15,Armor Explosive Resistance
37604,1,24311,269,1,37604,0,1,2,-4,15,Armor Kinetic Resistance
37604,1,24311,270,1,37604,0,1,2,-4,15,Armor Thermal Resistance
37604,1,24311,482,1,37604,0,1,0,5,15,Capacitor Capacity
37604,0,0,50,2,316,0,0,0,-50,15,Warfare Link CPU Reduction
37604,0,0,68,4,842,0,0,0,200,15,Shield Maintenance Bot Transfer
37604,0,0,84,4,842,0,0,0,200,15,Armor Maintenance Bot Transfer
37604,0,0,10063,1,37604,0,0,1,2,15,Warfare Link Use
37604,0,0,73,2,1313,0,0,0,500,15,Entosis link duration
# Arazu,,,,,,,,,,,
11969,1,3332,10015,4,562;565,0,1,0,5,15,Medium Hybrid Turret Damage
11969,1,3332,309,2,208,0,1,0,7.5,15,Remote Sensor Damp Effect Range
11969,1,3332,566,2,208,0,1,0,7.5,15,Remote Sensor Damp Effect Scan Res
11969,1,22761,54,2,52,0,1,0,20,15,Warp Disruptor Range
11969,1,22761,50,2,330,0,1,0,-20,15,Cloaking Device CPU
11969,0,0,714,2,658,0,0,0,-80,15,Cyno Field Fuel
11969,0,0,73,2,658,0,0,0,-50,15,Cyno Field Duration
# Arbitrator,,,,,,,,,,,
628,1,3335,351,2,291,0,1,0,7.5,15,Tracking Disruptor Effect Optimal
628,1,3335,767,2,291,0,1,0,7.5,15,Tracking Disruptor Effect Tracking
628,1,3335,349,2,291,0,1,0,7.5,15,Tracking Disruptor Effect Falloff
628,1,3335,596,2,291,0,1,0,7.5,15,Guidance Disruptor Effect Missile Flight Time
628,1,3335,547,2,291,0,1,0,7.5,15,Guidance Disruptor Effect Missile Velocity
628,1,3335,848,2,291,0,1,0,7.5,15,Guidance Disruptor Effect Explosion Radius
628,1,3335,847,2,291,0,1,0,7.5,15,Guidance Disruptor Effect Explosion velocity
628,1,3335,263,3,18,0,1,0,10,15,Drone Shield HP
628,1,3335,265,3,18,0,1,0,10,15,Drone Armor HP
628,1,3335,9,3,18,0,1,0,10,15,Drone Hull HP
628,1,3335,64,3,18,0,1,0,10,15,Drone Damage
628,1,3335,77,3,18,0,1,0,10,15,Drone Mining Yield
# Archon,,,,,,,,,,,
23757,1,24311,267,1,23757,0,1,2,-4,15,Armor EM Resistance
23757,1,24311,268,1,23757,0,1,2,-4,15,Armor Explosive Resistance
23757,1,24311,269,1,23757,0,1,2,-4,15,Armor Kinetic Resistance
23757,1,24311,270,1,23757,0,1,2,-4,15,Armor Thermal Resistance
23757,1,24311,2209,1,37599;40568,0,1,0,5,15,Cenobite optimal range
23757,1,24311,833,4,1634;1635,0,1,0,1,15,Armored & Information Warfare Link Bonus
23757,0,0,10063,1,23757,0,0,1,2,15,Warfare Link Use
# Ares,,,,,,,,,,,
11202,1,3328,54,4,561;564,0,1,0,10,15,Small Hybrid Turret Optimal Range
11202,1,3328,160,4,561;564,0,1,0,10,15,Small Hybrid Turret Tracking
11202,1,12092,554,2,46,0,1,0,-15,15,MWD Signature Radius Penalty
11202,1,12092,54,2,52,0,1,0,5,15,Warp Disruptor Range
11202,0,0,6,2,52;65,0,0,0,-80,15,Propulsion Jamming Cap Use
# Ark,,,,,,,,,,,
28850,1,20524,10004,1,28850,0,1,0,5,15,Cargo Capacity
28850,1,20524,70,1,28850,0,1,0,-5,15,Agility
28850,1,29029,265,1,28850,0,1,0,10,15,Armor HP
28850,1,29029,9,1,28850,0,1,0,10,15,Hull HP
28850,1,29029,868,1,28850,0,1,0,-10,15,Jump Fuel Need
28850,1,20342,70,1,28850,0,1,0,-5,15,Agility
28850,0,0,50,2,78,0,0,0,-100,15,Bulkheads CPU Need
# Armageddon,,,,,,,,,,,
643,1,3339,263,3,18,0,1,0,10,15,Drone Shield HP
643,1,3339,265,3,18,0,1,0,10,15,Drone Armor HP
643,1,3339,9,3,18,0,1,0,10,15,Drone Hull HP
643,1,3339,64,3,18,0,1,0,10,15,Drone Damage
643,1,3339,54,2,68,0,1,0,10,15,Nos Drain Optimal Range
643,1,3339,2044,2,68,0,1,0,5,15,Nos Drain Falloff
643,1,3339,54,2,71,0,1,0,10,15,Neut Drain Optimal Range
643,1,3339,2044,2,71,0,1,0,5,15,Neut Drain Falloff
# Armageddon Imperial Issue,,,,,,,,,,,
11938,1,3339,6,4,569;573,0,1,0,-10,15,Large Energy Turret Cap Use
11938,1,3339,10011,4,569;573,0,1,0,-5,15,Large Energy Turret ROF
# Armageddon Navy Issue,,,,,,,,,,,
32305,1,3339,6,4,569;573,0,1,0,-10,15,Large Energy Turret Cap Use
32305,1,3339,10011,4,569;573,0,1,0,-5,15,Large Energy Turret ROF
# Ashimmu,,,,,,,,,,,
17922,0,0,10014,4,568;572,0,0,0,100,15,Medium Energy Turret Damage
17922,1,3335,90,2,68,0,1,0,15,15,Nos Drain Amount
17922,1,3335,97,2,71,0,1,0,15,15,Neut Drain Amount
17922,1,3333,54,2,65,0,1,0,20,15,Stasis Web Range
# Astarte,,,,,,,,,,,
22466,1,33097,10015,4,562;565,0,1,0,7.5,15,Medium Hybrid Turret Damage
22466,1,33097,84,2,62;1199,0,1,0,7.5,15,Armor Repair Amount
22466,1,23950,10012,4,562;565,0,1,0,-7.5,15,Medium Hybrid Turret ROF
22466,1,23950,158,4,562;565,0,1,0,10,15,Medium Hybrid Turret Falloff
22466,1,23950,833,4,1634;1637,0,1,0,3,15,Armored & Skirmish Warfare Link Bonus
22466,0,0,10063,1,22466,0,0,1,2,15,Warfare Link Use
# Astero,,,,,,,,,,,
33468,1,3331,267,1,33468,0,1,2,-4,15,Armor EM Resistance
33468,1,3331,268,1,33468,0,1,2,-4,15,Armor Explosive Resistance
33468,1,3331,269,1,33468,0,1,2,-4,15,Armor Kinetic Resistance
33468,1,3331,270,1,33468,0,1,2,-4,15,Armor Thermal Resistance
33468,1,3328,263,3,18,0,1,0,20,15,Drone Shield HP
33468,1,3328,265,3,18,0,1,0,20,15,Drone Armor HP
33468,1,3328,9,3,18,0,1,0,20,15,Drone Hull HP
33468,0,0,50,2,330,0,0,0,-100,15,Cloaking Device CPU
33468,0,0,1371,2,479,0,0,0,37.5,15,Probe Scan Strength Bonus
33468,0,0,1910,4,1718,0,0,1,10,15,Data & Relic Analyzer Virus Strength
# Atron,,,,,,,,,,,
608,1,3328,158,4,561;564,0,1,0,10,15,Small Hybrid Turret Falloff
608,1,3328,10015,4,561;564,0,1,0,5,15,Small Hybrid Turret Damage
608,0,0,6,2,52;65,0,0,0,-80,15,Propulsion Jamming Cap Use
# Augoror,,,,,,,,,,,
